Temp M2;Temp Infl;Month
100,9134501;102,33;1
106,712199;101,04;2
104,3451522;100,64;3
103,3734714;100,89;4
103,4716065;101,75;5
104,6038178;102,55;6
104,8271749;101,79;7
105,8225391;100,98;8
104,0752966;101,32;9
103,7313983;102,11;10
101,7308777;101,52;11
103,7040547;101,64;12
102,1515141;102,76;13
102,1650451;102,28;14
102,5646387;101,86;15
103,0428632;101,79;16
104,4564133;101,78;17
100,4594091;101,62;18
103,0848797;100,45;19
103,6254332;100,01;20
103,6178201;100,60;21
104,0581364;101,09;22
103,4546793;101,36;23
99,23302638;101,60;24
104,3577745;103,09;25
101,3778136;101,16;26
101,4904212;101,08;27
101,7065759;101,16;28
102,9304835;101,69;29
102,8027336;100,53;30
102,3276685;100,72;31
102,5239462;100,09;32
102,5045311;100,40;33
102,3138506;101,07;34
104,0238019;101,61;35
101,6488001;101,54;36
102,7198215;102,40;37
103,1208466;101,63;38
103,7742961;101,05;39
103,917533;101,02;40
104,4067007;100,80;41
103,7777123;100,80;42
105,503875;100,71;43
102,005561;99,59;44
102,6963255;100,34;45
102,0227728;101,00;46
102,1549432;100,96;47
102,6147839;101,10;48
105,7590516;101,75;49
107,3619367;100,99;50
103,9924454;100,75;51
101,424779;100,99;52
101,3612568;100,74;53
100,1977014;100,78;54
102,9027521;100,92;55
100,051975;100,42;56
101,2796159;100,43;57
102,0566919;101,14;58
103,8996278;101,11;59
103,3789521;101,14;60
103,08942;102,62;61
102,9941004;101,23;62
103,3020639;101,34;63
102,4528041;101,12;64
102,3249226;100,80;65
101,3000522;100,64;66
103,5278311;100,46;67
102,7470239;99,86;68
103,5577556;100,25;69
102,7789487;100,55;70
102,8903509;100,74;71
102,037117;100,82;72
103,1405398;102,43;73
103,1760638;101,66;74
101,7857725;100,82;75
102,6126123;100,35;76
103,3831773;100,48;77
104,5038415;100,28;78
103,9848306;100,67;79
104,0614101;100,19;80
103,5990758;100,09;81
103,8032911;100,28;82
102,7067139;100,63;83
102,8231829;100,79;84
103,9768946;101,68;85
102,9015209;101,11;86
102,92059;100,59;87
104,0964381;100,57;88
106,829014;100,63;89
106,5138303;100,95;90
99,70798165;100,87;91
102,6382794;100,09;92
102,4988206;100,79;93
102,9492152;101,64;94
101,7362295;101,23;95
102,7766931;101,13;96
101,294245;102,31;97
103,1088362;101,20;98
101,5497814;101,20;99
101,3504098;101,42;100
100,4418128;101,35;101
102,1515128;100,97;102
102,6701578;100,51;103
102,1347037;100,36;104
102,732746;100,80;105
98,92517208;100,91;106
95,71200508;100,83;107
97,18282787;100,69;108
93,50570515;102,37;109
93,04374909;101,65;110
100,5494234;101,31;111
100,1843832;100,69;112
102,8901114;100,57;113
103,7683656;100,60;114
101,4019802;100,63;115
101,5542758;100,00;116
101,8835012;99,97;117
102,5785771;100,00;118
103,8162876;100,29;119
102,1978318;100,41;120
